id,timestamp,cycle_number,btc_price,fear_greed,btc_dominance,etf_flows_7d,current_state,previous_state,days_in_state,portfolio_value,btc_holdings,usdc_holdings,daily_return,total_return,btc_above_20_sma,sma_20_above_50,btc_was_strong_3d_ago,btc_was_strong_7d_ago,transition_progress,transition_message
23,"2026-03-19T06:11:34.220Z",1,70874.6,23,56.359541931153515,-7839999.999999418,"DORMANT","N/A",0.000046724537037037035,291.7,0,291.7,0,0,1,0,1,1,0.00015555555555555556,"Dormancy Period (0.0/30d)"
24,"2026-03-19T06:18:17.506Z",1,70933.6,23,56.361416492330186,-1939999.999999418,"DORMANT","N/A",0.000046122685185185184,291.7,0,291.7,0,0,1,0,1,1,0.0001535493827160494,"Dormancy Period (0.0/30d)"
25,"2026-03-19T06:26:04.713Z",1,70852.6,23,56.36380804133234,-10039999.999999419,"DORMANT","N/A",0.000046412037037037034,291.7,0,291.7,0,0,1,0,1,1,0.00015435956790123457,"Dormancy Period (0.0/30d)"
26,"2026-03-19T06:27:49.528Z",1,70886.9,23,56.36380804133234,-6610000.000000582,"DORMANT","N/A",0.000046180555555555554,291.7,0,291.7,0,0,1,0,1,1,0.0001537037037037037,"Dormancy Period (0.0/30d)"
27,"2026-03-19T06:48:01.524Z",1,70694.7,23,56.32015519938397,-25830000.00000029,"DORMANT","N/A",0.00004578703703703704,291.7,0,291.7,0,0,1,0,1,1,0.00015246913580246912,"Dormancy Period (0.0/30d)"
28,"2026-03-19T07:25:50.778Z",1,69710.1,23,56.19662844314337,-124289999.99999942,"DORMANT","N/A",0.00006789351851851852,291.7,0,291.7,0,0,0,0,1,1,0.00022604166666666668,"Dormancy Period (0.0/30d)"
29,"2026-03-19T07:28:34.005Z",1,69811.7,23,56.19662844314337,-114130000.0000003,"DORMANT","N/A",0.0000638425925925926,291.7,0,291.7,0,0,0,0,1,1,0.00021261574074074076,"Dormancy Period (0.0/30d)"
30,"2026-03-19T08:20:47.790Z",1,70216.9,23,56.26194276552504,-73610000.00000058,"DORMANT","N/A",0.000048333333333333334,291.7,0,291.7,0,0,1,0,1,1,0.00016091820987654322,"Dormancy Period (0.0/30d)"
31,"2026-03-19T09:17:09.220Z",1,70043.8,23,56.25769446151486,-90919999.9999997,"DORMANT","N/A",0.000058472222222222223,291.7,0,291.7,0,0,1,0,1,1,0.00019463734567901232,"Dormancy Period (0.0/30d)"
32,"2026-03-19T09:36:12.410Z",1,70255.6,23,56.2501763042916,-69739999.99999942,"DORMANT","N/A",0.00005334490740740741,291.7,0,291.7,0,0,1,0,1,1,0.00017746913580246916,"Dormancy Period (0.0/30d)"
33,"2026-03-19T09:46:04.036Z",1,70458.2,23,56.26878577286183,-49480000.00000029,"DORMANT","N/A",0.0000584375,291.7,0,291.7,0,0,1,0,1,1,0.0001945987654320988,"Dormancy Period (0.0/30d)"
34,"2026-03-19T09:51:22.085Z",1,70470.3,23,56.26878577286183,-48269999.99999971,"DORMANT","N/A",0.00006081018518518518,291.7,0,291.7,0,0,1,0,1,1,0.00020243055555555555,"Dormancy Period (0.0/30d)"
35,"2026-03-19T10:49:23.139Z",1,70244.8,23,56.23574726165621,-70819999.9999997,"DORMANT","N/A",0.000054386574074074076,291.7,0,291.7,0,0,1,0,1,1,0.00018117283950617284,"Dormancy Period (0.0/30d)"
36,"2026-03-19T11:27:43.183Z",1,70204.5,23,56.252619297294196,-74850000,"DORMANT","N/A",0.00004774305555555556,291.7,0,291.7,0,0,1,0,1,1,0.00015902777777777776,"Dormancy Period (0.0/30d)"
37,"2026-03-19T11:29:29.063Z",1,70206.6,23,56.252619297294196,-74639999.99999942,"DORMANT","N/A",0.00004945601851851852,291.7,0,291.7,0,0,1,0,1,1,0.00016466049382716052,"Dormancy Period (0.0/30d)"
38,"2026-03-19T11:31:11.999Z",1,70230.1,23,56.252619297294196,-72289999.99999942,"DORMANT","N/A",0.000048703703703703704,291.7,0,291.7,0,0,1,0,1,1,0.00016195987654320988,"Dormancy Period (0.0/30d)"
39,"2026-03-19T12:54:23.355Z",1,69264.8,23,56.20443070155105,-168819999.9999997,"DORMANT","N/A",0.00004751157407407407,291.7,0,291.7,0,0,0,0,1,1,0.00015821759259259258,"Dormancy Period (0.0/30d)"
40,"2026-03-19T13:43:00.021Z",1,69733,23,56.26718615545381,-122000000,"DORMANT","N/A",0.00004997685185185185,291.7,0,291.7,0,0,0,0,1,1,0.0001664351851851852,"Dormancy Period (0.0/30d)"
41,"2026-03-19T13:46:18.226Z",1,69619.1,23,56.26718615545381,-133389999.99999942,"DORMANT","N/A",0.00004960648148148148,291.7,0,291.7,0,0,0,0,1,1,0.00016527777777777775,"Dormancy Period (0.0/30d)"
42,"2026-03-19T20:29:27.804Z",2,70325.9,23,56.49008761775324,-62710000.00000058,"DORMANT","N/A",0.2800215740740741,291.7,0,291.7,0,0,1,0,1,1,0.9334049768518519,"Dormancy Period (0.3/30d)"
43,"2026-03-20T06:33:32.567Z",3,70424.3,11,56.4876470140279,-78630000.0000003,"DORMANT","N/A",0.6995211458333334,291.7,0,291.7,0,0,1,1,1,1,2.3317369598765434,"Dormancy Period (0.7/30d)"
44,"2026-03-20T14:45:51.867Z",4,70000.3,11,56.40351112996528,-121030000.0000003,"DORMANT","N/A",1.0414111921296296,291.7,0,291.7,0,0,0,1,1,1,3.4713703317901237,"Dormancy Period (1.0/30d)"
45,"2026-03-21T06:19:32.555Z",5,70780.5,12,56.514374282028434,-205519999.9999997,"DORMANT","N/A",1.689798773148148,291.7,0,291.7,0,0,1,1,1,1,5.632662384259259,"Dormancy Period (1.7/30d)"
46,"2026-03-21T13:25:46.637Z",1,70711.8,12,56.521856610009635,-212389999.9999994,"DORMANT","N/A",0.00004584490740740741,291.7,0,291.7,0,0,1,1,1,1,0.00015262345679012347,"Dormancy Period (0.0/30d)"
47,"2026-03-21T13:26:59.051Z",1,70738.4,12,56.53006477466307,-209730000.0000003,"DORMANT","N/A",0.00005023148148148148,291.7,0,291.7,0,0,1,1,1,1,0.0001672067901234568,"Dormancy Period (0.0/30d)"
